sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;39;Erntehelferin;111;FEMININE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Erntehelferin liebt ihren Liebhaber.;La recolectora ama a su amante.;La récolteuse aime son amant.;La raccoglitrice ama il suo amante.;عاملة الحصاد تحب حبيبها.;Сборщица урожая любит своего возлюбленного.;Працівниця збору врожаю кохає свого коханого.;הקוצרת אוהבת את אהובה.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 1-1 2-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;0-0 1-0 1-1 2-3 3-4 4-5;0-0 1-0 2-1 3-2 4-3;[0, 1];La recolectora;La récolteuse;La raccoglitrice;عاملة الحصاد;Сборщица урожая;Працівниця збору;הקוצרת;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;39;Erntehelferin;111;FEMININE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Erntehelferin liebt ihre Liebhaberin.;La trabajadora de la cosecha ama a su amante.;La récolteuse aime sa maîtresse.;La raccoglitrice ama la sua amante.;تحب العاملة الزراعية عشيقتها.;Сборщица урожая любит свою возлюбленную.;Збиральниця кохає свою коханку.;הקוטפת אוהבת את אהובתה.;0-0 1-1 1-4 2-5 3-7 4-6 4-8;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-1 1-2 2-0 3-3 4-1 4-3;0-0 1-0 1-1 2-2 3-3 4-4;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;[0, 1];La trabajadora cosecha;La récolteuse;La raccoglitrice;تحب العاملة الزراعية;Сборщица урожая;Збиральниця;הקוטפת;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;39;Erntehilfe;111;DIVERSE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Erntehilfe liebt deren Liebhaber.;La ayuda para la cosecha ama a sus amantes.;La récolte aime leurs amoureux.;L'aiuto al raccolto ama i suoi amanti.;المساعدة في الحصاد تحب محبيها.;Помощь в уборке урожая любит её поклонников.;Допомога зі збору врожаю любить їхніх шанувальників.;עזרת הקציר אוהבת את אוהביה.;0-0 1-1 1-4 2-5 3-7 4-6 4-8;0-0 1-1 2-2 3-3 4-4;0-0 1-0 1-2 2-3 3-5 4-2 4-6;0-0 1-0 2-3 3-4 4-4;0-0 1-0 1-2 1-3 2-4 3-5 4-6;0-0 1-0 1-2 2-4 3-5 4-6;0-0 1-1 2-2 3-3 4-4;[0, 1];La ayuda cosecha;La récolte;L'aiuto raccolto;المساعدة;Помощь уборке урожая;Допомога збору;עזרת הקציר;FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;39;Erntehilfe;111;DIVERSE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Erntehilfe liebt deren Liebhaberin.;La ayudante de cosecha ama a su amante.;L'aide à la récolte aime son amante.;L'assistente del raccolto ama la sua amante.;تحب مساعدة الحصاد حبيبتها.;Помощник на сборе урожая любит её возлюбленную.;Допомога при зборі врожаю любить її прихильницю.;עזרת הקציר אוהבת את אהובתה.;0-0 1-1 1-3 2-4 3-6 4-5 4-7;0-0 1-0 1-3 2-4 3-5 4-3 4-6;0-0 1-0 1-2 2-3 3-5 4-2 4-4 4-6;0-0 1-1 1-2 2-0 3-3 4-3;0-0 1-0 1-2 1-3 2-4 3-5 4-6;0-0 1-0 1-2 1-3 2-4 3-5 4-6;0-0 1-1 2-2 3-3 4-4;[0, 1];La ayudante cosecha;L'aide récolte;L'assistente raccolto;تحب مساعدة الحصاد;Помощник сборе урожая;Допомога зборі врожаю;עזרת הקציר;FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Erntehelfer;111;MASCULINE;2;;Helfer;none;none;none;none;none;none;none;none;Elias;MASCULINE;Elias ist Erntehelfer.;Elias es trabajador de la cosecha.;Elias est ouvrier agricole.;Elias è un raccoglitore.;إلياس هو عامل حصاد.;Элиас - помощник на сборе урожая.;Еліас працює на збиранні врожаю.;אליאס הוא עובד קציר.;0-0 1-1 2-2 2-5;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-3;0-0 1-1 2-2 2-3;0-0 1-1 2-2 2-4 2-5;0-0 1-1 2-3 2-4;0-0 1-1 2-3;[1, 2];es trabajador cosecha.;est ouvrier agricole.;è un raccoglitore.;هو عامل حصاد.;- помощник сборе урожая.;працює збиранні врожаю.;הוא קציר.;UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];NEUTER;['NEUTER'];MASCULINE;['MASCULINE']
6;44;Erntehelfer;111;MASCULINE;2;;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehelfer.;Janne es trabajador de la cosecha.;Janne est ouvrier agricole saisonnier.;Janne è un raccoglitore di frutta.;جان هو عامل حصاد.;Янне — сборщик урожая.;Янне - сезонний працівник на зборі врожаю.;ג'אנה הוא עובד קטיף.;0-0 1-1 2-2 2-5;0-0 1-1 2-2 2-3 2-4;0-0 1-1 2-3 2-5;0-0 1-1 2-2 2-3;0-0 1-1 2-2 2-3;0-0 1-1 2-2 2-3 2-6;0-0 1-1 1-2 2-3;[1, 2];es trabajador cosecha.;est ouvrier agricole saisonnier.;è raccoglitore frutta.;هو عامل حصاد.;— сборщик урожая.;- сезонний працівник врожаю.;הוא עובד קטיף.;UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Erntehelferin;111;FEMININE;2;;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehelferin.;Janne es trabajadora de la cosecha.;Janne est ouvrière agricole.;Janne è una bracciante agricola.;جانِه عاملة حصاد.;Янне — сборщица урожая.;Янне — збирачка врожаю.;יאנה היא עוזרת קציר.;0-0 1-1 2-2 2-5;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-3 2-4;0-0 1-0 2-1 2-2;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-0 2-2 2-3;0-0 1-1 2-2 2-3;[1, 2];es trabajadora cosecha.;est ouvrière agricole.;è una bracciante agricola.;جانِه عاملة حصاد.;— сборщица урожая.;Янне — збирачка врожаю.;היא עוזרת קציר.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
6;44;Erntehelferin;111;FEMININE;2;;Helfer;none;none;none;none;none;none;none;none;Emilia;FEMININE;Emilia ist Erntehelferin.;Emilia es trabajadora de cosecha.;Emilia est ouvrière agricole.;Emilia è una raccoglitrice.;إميليا عاملة حصاد.;Эмилия - сезонный рабочий.;Емілія є помічницею на збиранні врожаю.;אמיליה היא פועלת חקלאית.;0-0 1-1 2-2 2-4;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-3;0-0 1-1 2-1 2-2;0-0 1-1 2-2 2-3;0-0 1-1 2-2 2-4 2-5;0-0 1-1 2-2 2-3;[1, 2];es trabajadora cosecha.;est ouvrière agricole.;è una raccoglitrice.;عاملة حصاد.;- сезонный рабочий.;є помічницею збиранні врожаю.;היא פועלת חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Erntehilfe;111;DIVERSE;2;;Helfer;none;none;none;none;none;none;none;none;Elias;MASCULINE;Elias ist Erntehilfe.;Elias es ayudante de cosecha.;Elias est ouvrier agricole.;Elias è un aiutante del raccolto.;إلياس يساعد في الحصاد.;Илия помогает при сборе урожая.;Еліас працює помічником на зборі врожаю.;אליאס הוא עוזר קציר.;0-0 1-1 2-2 2-4;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-3 2-5;0-0 1-1 2-1 2-3;0-0 1-1 2-1 2-3 2-4;0-0 1-1 2-2 2-4 2-5;0-0 1-1 2-2 2-3;[1, 2];es ayudante cosecha.;est ouvrier agricole.;è un aiutante raccolto.;يساعد الحصاد.;помогает сборе урожая.;працює помічником зборі врожаю.;הוא עוזר קציר.;FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE']
6;44;Erntehilfe;111;DIVERSE;2;;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehilfe.;Janne es ayudante de cosecha.;Janne est un aide-récolteur.;Janne è un aiuto per il raccolto.;جانّ تساعد bei der Ernte.;Янне работает на уборке урожая.;Янне працює на врожаї.;ג'אנה היא עוזרת קציר.;0-0 1-1 2-2 2-4;0-0 1-1 1-2 2-3;0-0 1-1 2-3 2-6;0-0 1-3 2-1 2-4;0-0 1-1 2-2 2-3 2-4;0-0 1-1 2-2 2-3;0-0 1-1 2-2 2-3;[1, 2];es ayudante cosecha.;est un aide-récolteur.;è aiuto raccolto.;تساعد der Ernte.;работает на уборке урожая.;працює на врожаї.;היא עוזרת קציר.;FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
6;44;Erntehilfe;111;DIVERSE;2;;Helfer;none;none;none;none;none;none;none;none;Emilia;FEMININE;Emilia ist Erntehilfe.;Emilia es trabajadora de la cosecha.;Emilia est ouvrière agricole.;Emilia è un'aiutante per il raccolto.;إميليا تعمل كمساعدة حصاد.;Эмилия помогает с урожаем.;Емілія працює в зборі врожаю.;אמיליה היא עוזרת קציר.;0-0 1-1 2-2 2-5;0-0 1-1 2-2 2-3;0-0 1-1 1-2 2-2 2-5;0-0 1-1 2-2 2-3;0-0 1-1 2-1 2-3;0-0 1-1 2-2 2-4;0-0 1-1 2-2 2-3;[1, 2];es trabajadora cosecha.;est ouvrière agricole.;è un'aiutante raccolto.;تعمل كمساعدة حصاد.;помогает урожаем.;працює в врожаю.;היא עוזרת קציר.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;38;Imker;112;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Imker küsst seinen Liebhaber.;El apicultor besa a su amante.;L'apiculteur embrasse son amant.;L'apicoltore bacia il suo amante.;يقبل النحّال حبيبه.;Пчеловод целует своего возлюбленного.;Бджоляр цілує свого коханого.;הדבוראי מנשק את אהובו.;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-3 4-2 4-4;0-1 1-1 2-0 3-2 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;[0, 1];El apicultor;L'apiculteur;L'apicoltore;النحّال;Пчеловод;Бджоляр;הדבוראי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;38;Imker;112;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Imker küsst seine Liebhaberin.;El apicultor besa a su amante.;L'apiculteur embrasse sa maîtresse.;L'apicoltore bacia la sua amante.;يقبل النحال حبيبته.;Пчеловод целует свою возлюбленную.;Бджоляр цілує свою кохану.;הדבוראי מנשק את אהובתו.;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-3 4-2 4-4;0-1 1-1 2-0 3-2 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-0 4-3;0-0 1-0 2-1 3-2 4-0 4-3;[0, 1];El apicultor;L'apiculteur;L'apicoltore;النحال;Пчеловод;Бджоляр;הדבוראי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;38;Imkerin;112;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Imkerin küsst ihren Liebhaber.;La apicultora besa a su amante.;L'apicultrice embrasse son amant.;L'apicultrice bacia il suo amante.;تقبّل النحّالة حبيبها.;Пасечница целует своего любимого.;Пасічниця цілує свого коханого.;הדבּוֹרָאִית נושקת לאהובה.;0-0 1-1 2-2 3-4 4-5;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-3 4-2 4-4;0-1 1-1 1-2 2-0 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-2;[0, 1];La apicultora;L'apicultrice;L'apicultrice;النحّالة حبيبها.;Пасечница;Пасічниця;הדבּוֹרָאִית;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;38;Imkerin;112;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Imkerin küsst ihre Liebhaberin.;La apicultora besa a su amante.;L'apicultrice embrasse sa maîtresse.;L'apicoltrice bacia la sua amante.;تقوم مربية النحل بتقبيل حبيبتها.;Пчеловод целует свою возлюбленную.;Пасічниця цілує свою кохану.;הדבוראית מנשקת את אהובתה.;0-0 1-1 2-2 3-4 4-5;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-3 4-2 4-4;0-0 1-1 1-2 2-3 3-4 4-4;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;[0, 1];La apicultora;L'apicultrice;L'apicoltrice;تقوم مربية النحل;Пчеловод;Пасічниця;הדבוראית;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
