sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text
2;4;Erntehelferin;111;FEMININE;1;0.2735926026652162;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehelferin ist stolz auf sich und ihre Leistung.
2;4;Erntehilfe;111;DIVERSE;1;;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehilfe ist stolz auf sich und deren Leistung.
4;4;Erntehelfer;111;MASCULINE;2;0.7264073973347838;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Erntehelfer ist stolz auf sich und seine Leistung.
4;4;Erntehelferin;111;FEMININE;2;0.2735926026652162;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Erntehelferin ist stolz auf sich und ihre Leistung.
1;4;Erntehelfer;111;MASCULINE;1;0.7264073973347838;Helfer;none;none;none;none;none;none;none;none;none;none;Der Erntehelfer ist stolz auf sich und die erbrachte Leistung.
1;4;Erntehelferin;111;FEMININE;1;0.2735926026652162;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehelferin ist stolz auf sich und die erbrachte Leistung.
1;4;Erntehilfe;111;DIVERSE;1;;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehilfe ist stolz auf sich und die erbrachte Leistung.
3;4;Erntehelfer;111;MASCULINE;2;0.7264073973347838;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Erntehelfer ist stolz auf sich und die erbrachte Leistung.
3;4;Erntehelferin;111;FEMININE;2;0.2735926026652162;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Erntehelferin ist stolz auf sich und die erbrachte Leistung.
2;5;Imker;112;MASCULINE;1;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Imker ärgert sich darüber, dass er einen Fehler gemacht hat.
2;5;Imkerin;112;FEMININE;1;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Imkerin ärgert sich darüber, dass sie einen Fehler gemacht hat.
4;5;Imker;112;MASCULINE;2;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Imker ärgert sich darüber, dass er einen Fehler gemacht hat.
4;5;Imkerin;112;FEMININE;2;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Imkerin ärgert sich darüber, dass sie einen Fehler gemacht hat.
1;5;Imker;112;MASCULINE;1;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Imker ärgert sich über einen gemachten Fehler.
1;5;Imkerin;112;FEMININE;1;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Imkerin ärgert sich über einen gemachten Fehler.
3;5;Imker;112;MASCULINE;2;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Imker ärgert sich über einen gemachten Fehler.
3;5;Imkerin;112;FEMININE;2;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Imkerin ärgert sich über einen gemachten Fehler.
2;6;Imker;112;MASCULINE;1;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Imker gesteht sich ein, dass er noch unentschlossen ist.
2;6;Imkerin;112;FEMININE;1;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Imkerin gesteht sich ein, dass sie noch unentschlossen ist.
4;6;Imker;112;MASCULINE;2;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Imker gesteht sich ein, dass er noch unentschlossen ist.
4;6;Imkerin;112;FEMININE;2;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Imkerin gesteht sich ein, dass sie noch unentschlossen ist.
1;6;Imker;112;MASCULINE;1;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Imker ist noch unentschlossen.
1;6;Imkerin;112;FEMININE;1;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Imkerin ist noch unentschlossen.
3;6;Imker;112;MASCULINE;2;0.5647756138865369;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Imker ist noch unentschlossen.
3;6;Imkerin;112;FEMININE;2;0.4352243861134631;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Imkerin ist noch unentschlossen.
2;7;Kutscher;113;MASCULINE;1;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Kutscher bittet jemanden ihm zu helfen.
2;7;Kutscherin;113;FEMININE;1;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Kutscherin bittet jemanden ihr zu helfen.
4;7;Kutscher;113;MASCULINE;2;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Kutscher bittet jemanden ihm zu helfen.
4;7;Kutscherin;113;FEMININE;2;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Kutscherin bittet jemanden ihr zu helfen.
1;7;Kutscher;113;MASCULINE;1;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Kutscher bittet jemanden um Hilfe.
1;7;Kutscherin;113;FEMININE;1;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Kutscherin bittet jemanden um Hilfe.
3;7;Kutscher;113;MASCULINE;2;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Kutscher bittet jemanden um Hilfe.
3;7;Kutscherin;113;FEMININE;2;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Kutscherin bittet jemanden um Hilfe.
2;8;Kutscher;113;MASCULINE;1;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Kutscher informiert das Team, dass er mehr Zeit benötigt.
2;8;Kutscherin;113;FEMININE;1;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Kutscherin informiert das Team, dass sie mehr Zeit benötigt.
4;8;Kutscher;113;MASCULINE;2;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Kutscher informiert das Team, dass er mehr Zeit benötigt.
4;8;Kutscherin;113;FEMININE;2;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Kutscherin informiert das Team, dass sie mehr Zeit benötigt.
1;8;Kutscher;113;MASCULINE;1;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Kutscher braucht mehr Zeit und teilt es dem Team mit.
1;8;Kutscherin;113;FEMININE;1;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Kutscherin braucht mehr Zeit und teilt es dem Team mit.
3;8;Kutscher;113;MASCULINE;2;0.3296398891966759;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Kutscher braucht mehr Zeit und teilt es dem Team mit.
3;8;Kutscherin;113;FEMININE;2;0.6703601108033241;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Kutscherin braucht mehr Zeit und teilt es dem Team mit.
2;10;Fischer;114;MASCULINE;1;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Fischer merkt, dass er überfordert ist.
2;10;Fischerin;114;FEMININE;1;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Fischerin merkt, dass sie überfordert ist.
4;10;Fischer;114;MASCULINE;2;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Fischer merkt, dass er überfordert ist.
4;10;Fischerin;114;FEMININE;2;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Fischerin merkt, dass sie überfordert ist.
1;10;Fischer;114;MASCULINE;1;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Fischer ist überfordert.
1;10;Fischerin;114;FEMININE;1;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Fischerin ist überfordert.
3;10;Fischer;114;MASCULINE;2;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Fischer ist überfordert.
3;10;Fischerin;114;FEMININE;2;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Fischerin ist überfordert.
2;9;Fischer;114;MASCULINE;1;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Fischer betont, dass seine Entscheidung final ist.
2;9;Fischerin;114;FEMININE;1;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Fischerin betont, dass ihre Entscheidung final ist.
4;9;Fischer;114;MASCULINE;2;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Fischer betont, dass seine Entscheidung final ist.
4;9;Fischerin;114;FEMININE;2;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Fischerin betont, dass ihre Entscheidung final ist.
1;9;Fischer;114;MASCULINE;9;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Es wird betont, dass die Entscheidung von dem Fischer final ist.
1;9;Fischerin;114;FEMININE;9;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Es wird betont, dass die Entscheidung von der Fischerin final ist.
3;9;Fischer;114;MASCULINE;10;0.9047619047619048;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Es wird betont, dass die Entscheidung von dem trans Fischer final ist.
3;9;Fischerin;114;FEMININE;10;0.0952380952380952;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Es wird betont, dass die Entscheidung von der trans Fischerin final ist.
2;11;Tierpfleger;115;MASCULINE;1;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Tierpfleger hat schlechte Laune, weil er gestresst ist.
2;11;Tierpflegerin;115;FEMININE;1;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Tierpflegerin hat schlechte Laune, weil sie gestresst ist.
4;11;Tierpfleger;115;MASCULINE;2;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Tierpfleger hat schlechte Laune, weil er gestresst ist.
4;11;Tierpflegerin;115;FEMININE;2;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Tierpflegerin hat schlechte Laune, weil sie gestresst ist.
1;11;Tierpfleger;115;MASCULINE;1;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Tierpfleger hat schlechte Laune wegen des Stresses.
1;11;Tierpflegerin;115;FEMININE;1;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Tierpflegerin hat schlechte Laune wegen des Stresses.
3;11;Tierpfleger;115;MASCULINE;2;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Tierpfleger hat schlechte Laune wegen des Stresses.
3;11;Tierpflegerin;115;FEMININE;2;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Tierpflegerin hat schlechte Laune wegen des Stresses.
2;12;Tierpfleger;115;MASCULINE;1;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Tierpfleger isst Abendbrot, weil er Hunger hat.
2;12;Tierpflegerin;115;FEMININE;1;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Tierpflegerin isst Abendbrot, weil sie Hunger hat.
4;12;Tierpfleger;115;MASCULINE;2;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Tierpfleger isst Abendbrot, weil er Hunger hat.
4;12;Tierpflegerin;115;FEMININE;2;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Tierpflegerin isst Abendbrot, weil sie Hunger hat.
1;12;Tierpfleger;115;MASCULINE;1;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Tierpfleger isst Abendbrot um den Hunger zu stillen.
1;12;Tierpflegerin;115;FEMININE;1;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Tierpflegerin isst Abendbrot um den Hunger zu stillen.
3;12;Tierpfleger;115;MASCULINE;2;0.3716295427901524;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Tierpfleger isst Abendbrot um den Hunger zu stillen.
3;12;Tierpflegerin;115;FEMININE;2;0.6283704572098476;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Tierpflegerin isst Abendbrot um den Hunger zu stillen.
2;13;Winzer;116;MASCULINE;1;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Winzer hört Musik, wenn er sich entspannen möchte.
2;13;Winzerin;116;FEMININE;1;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Winzerin hört Musik, wenn sie sich entspannen möchte.
4;13;Winzer;116;MASCULINE;2;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Winzer hört Musik, wenn er sich entspannen möchte.
4;13;Winzerin;116;FEMININE;2;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Winzerin hört Musik, wenn sie sich entspannen möchte.
1;13;Winzer;116;MASCULINE;1;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Winzer hört gern Musik zum Entspannen.
1;13;Winzerin;116;FEMININE;1;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Winzerin hört gern Musik zum Entspannen.
3;13;Winzer;116;MASCULINE;2;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Winzer hört gern Musik zum Entspannen.
3;13;Winzerin;116;FEMININE;2;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Winzerin hört gern Musik zum Entspannen.
2;14;Winzer;116;MASCULINE;1;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Winzer liest gern sein Lieblingsbuch.
2;14;Winzerin;116;FEMININE;1;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Winzerin liest gern ihr Lieblingsbuch.
4;14;Winzer;116;MASCULINE;2;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Winzer liest gern sein Lieblingsbuch.
4;14;Winzerin;116;FEMININE;2;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Winzerin liest gern ihr Lieblingsbuch.
1;14;Winzer;116;MASCULINE;1;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Winzer liest gerne verschiedene Bücher.
1;14;Winzerin;116;FEMININE;1;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Winzerin liest gerne verschiedene Bücher.
3;14;Winzer;116;MASCULINE;2;0.7817460317460317;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Winzer liest gerne verschiedene Bücher.
3;14;Winzerin;116;FEMININE;2;0.2182539682539682;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Winzerin liest gerne verschiedene Bücher.
2;15;Jäger;117;MASCULINE;1;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Jäger geht gerne mit seinem Hund spazieren.
2;15;Jägerin;117;FEMININE;1;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Jägerin geht gerne mit ihrem Hund spazieren.
4;15;Jäger;117;MASCULINE;2;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Jäger geht gerne mit seinem Hund spazieren.
4;15;Jägerin;117;FEMININE;2;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Jägerin geht gerne mit ihrem Hund spazieren.
1;15;Jäger;117;MASCULINE;1;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Jäger geht gerne mit dem Hund spazieren.
1;15;Jägerin;117;FEMININE;1;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Jägerin geht gerne mit dem Hund spazieren.
3;15;Jäger;117;MASCULINE;2;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Jäger geht gerne mit dem Hund spazieren.
3;15;Jägerin;117;FEMININE;2;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Jägerin geht gerne mit dem Hund spazieren.
2;16;Jäger;117;MASCULINE;1;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Jäger reflektiert wöchentlich seine Leistung.
2;16;Jägerin;117;FEMININE;1;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Jägerin reflektiert wöchentlich ihre Leistung.
4;16;Jäger;117;MASCULINE;2;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Jäger reflektiert wöchentlich seine Leistung.
4;16;Jägerin;117;FEMININE;2;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Jägerin reflektiert wöchentlich ihre Leistung.
1;16;Jäger;117;MASCULINE;1;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Jäger reflektiert wöchentlich über die eigene Leistung.
1;16;Jägerin;117;FEMININE;1;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Jägerin reflektiert wöchentlich über die eigene Leistung.
3;16;Jäger;117;MASCULINE;2;0.9108695652173912;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Jäger reflektiert wöchentlich über die eigene Leistung.
3;16;Jägerin;117;FEMININE;2;0.0891304347826087;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Jägerin reflektiert wöchentlich über die eigene Leistung.
2;17;Landschaftsgärtner;121;MASCULINE;1;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Landschaftsgärtner berichtet über seine Fortschritte.
2;17;Landschaftsgärtnerin;121;FEMININE;1;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Landschaftsgärtnerin berichtet über ihre Fortschritte.
4;17;Landschaftsgärtner;121;MASCULINE;2;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Landschaftsgärtner berichtet über seine Fortschritte.
4;17;Landschaftsgärtnerin;121;FEMININE;2;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Landschaftsgärtnerin berichtet über ihre Fortschritte.
1;17;Landschaftsgärtner;121;MASCULINE;1;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Landschaftsgärtner berichtet über Fortschritte.
1;17;Landschaftsgärtnerin;121;FEMININE;1;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Landschaftsgärtnerin berichtet über Fortschritte.
3;17;Landschaftsgärtner;121;MASCULINE;2;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Landschaftsgärtner berichtet über Fortschritte.
3;17;Landschaftsgärtnerin;121;FEMININE;2;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Landschaftsgärtnerin berichtet über Fortschritte.
2;18;Landschaftsgärtner;121;MASCULINE;1;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Landschaftsgärtner genießt seinen Kaffee am Morgen .
2;18;Landschaftsgärtnerin;121;FEMININE;1;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Landschaftsgärtnerin genießt ihren Kaffee am Morgen .
4;18;Landschaftsgärtner;121;MASCULINE;2;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Landschaftsgärtner genießt seinen Kaffee am Morgen .
4;18;Landschaftsgärtnerin;121;FEMININE;2;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Landschaftsgärtnerin genießt ihren Kaffee am Morgen .
1;18;Landschaftsgärtner;121;MASCULINE;1;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Landschaftsgärtner genießt Kaffee am Morgen.
1;18;Landschaftsgärtnerin;121;FEMININE;1;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Landschaftsgärtnerin genießt Kaffee am Morgen.
3;18;Landschaftsgärtner;121;MASCULINE;2;0.8049384689148154;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Landschaftsgärtner genießt Kaffee am Morgen.
3;18;Landschaftsgärtnerin;121;FEMININE;2;0.1950615310851846;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Landschaftsgärtnerin genießt Kaffee am Morgen.
2;19;Gartenarbeiter;121;MASCULINE;1;0.8154369126174765;Helfer;none;none;none;none;none;none;none;none;none;none;Der Gartenarbeiter sortiert seine Papiere ordentlich.
2;19;Gartenarbeiterin;121;FEMININE;1;0.1845630873825235;Helfer;none;none;none;none;none;none;none;none;none;none;Die Gartenarbeiterin sortiert ihre Papiere ordentlich.
4;19;Gartenarbeiter;121;MASCULINE;2;0.8154369126174765;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Gartenarbeiter sortiert seine Papiere ordentlich.
4;19;Gartenarbeiterin;121;FEMININE;2;0.1845630873825235;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Gartenarbeiterin sortiert ihre Papiere ordentlich.
1;19;Gartenarbeiter;121;MASCULINE;1;0.8154369126174765;Helfer;none;none;none;none;none;none;none;none;none;none;Der Gartenarbeiter sortiert Papiere ordentlich.
1;19;Gartenarbeiterin;121;FEMININE;1;0.1845630873825235;Helfer;none;none;none;none;none;none;none;none;none;none;Die Gartenarbeiterin sortiert Papiere ordentlich.
3;19;Gartenarbeiter;121;MASCULINE;2;0.8154369126174765;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Gartenarbeiter sortiert Papiere ordentlich.
3;19;Gartenarbeiterin;121;FEMININE;2;0.1845630873825235;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Gartenarbeiterin sortiert Papiere ordentlich.
2;20;Gartenarbeiter;121;MASCULINE;1;0.8154369126174765;Helfer;none;none;none;none;none;none;none;none;none;none;Der Gartenarbeiter ruht sich aus, wenn er Erholung braucht.
2;20;Gartenarbeiterin;121;FEMININE;1;0.1845630873825235;Helfer;none;none;none;none;none;none;none;none;none;none;Die Gartenarbeiterin ruht sich aus, wenn sie Erholung braucht.
4;20;Gartenarbeiter;121;MASCULINE;2;0.8154369126174765;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Gartenarbeiter ruht sich aus, wenn er Erholung braucht.
4;20;Gartenarbeiterin;121;FEMININE;2;0.1845630873825235;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Gartenarbeiterin ruht sich aus, wenn sie Erholung braucht.
